date,num,num2,str,str2
2014-02-06,410,302.792029,girl,green
2014-02-07,457,697.175828,boy,yellow
2014-02-18,392,324.299927,boy,yellow
2014-03-05,685,25.789894,girl,blue
2014-03-31,991,919.491320,boy,red
2014-04-05,936,203.884624,boy,green
2014-05-05,573,610.426822,girl,green
2014-08-04,395,108.394654,boy,yellow
2014-08-10,491,427.643074,boy,green
2014-08-25,813,171.206358,boy,purple
2014-08-29,879,17.125515,girl,yellow
2014-09-06,312,950.521552,boy,blue
2014-09-08,454,594.718080,boy,yellow
2014-09-23,190,439.115599,girl,green
2014-10-18,935,272.242293,girl,purple
2014-10-21,470,875.228149,girl,yellow
2014-10-25,330,906.175589,girl,green
2014-11-03,375,295.607138,girl,yellow
2014-11-07,928,796.029658,boy,green
2014-11-15,180,894.038258,boy,blue
2014-11-28,534,413.820614,girl,green
2014-12-12,695,379.472255,boy,blue
2015-01-04,326,233.261871,boy,purple
2015-01-14,229,871.807663,girl,red
2015-01-17,365,565.969576,girl,yellow
2015-02-17,451,330.804178,boy,red
2015-03-01,293,136.073026,boy,red
2015-06-01,936,609.151571,girl,purple
2015-06-07,978,928.392027,boy,green
2015-06-08,176,183.815583,girl,red
2015-06-11,11,796.351395,boy,blue
2015-07-21,657,283.045013,girl,green
2015-08-02,724,908.748442,boy,green
2015-08-24,722,268.164046,girl,green
2015-09-18,309,291.627507,girl,blue
2015-09-24,464,385.513347,boy,blue
2015-09-25,501,24.179023,girl,yellow
2015-10-08,121,857.651262,girl,red
2015-10-22,185,132.749541,girl,green
2015-10-24,345,112.535796,boy,red
2015-10-27,393,435.761251,girl,red
2015-12-10,49,539.972914,girl,purple
2016-02-12,13,768.236017,boy,yellow
2016-03-28,790,498.674436,boy,green
2016-05-01,599,2.993890,boy,purple
2016-06-22,988,478.500515,boy,blue
2016-06-28,158,700.562827,girl,green
2016-07-22,983,522.435948,boy,purple
2016-08-05,937,231.178004,girl,red
2016-08-11,95,167.578878,boy,blue
